Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
River Arun - Arundel to Littlehampton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84
Hanningfield Reservoir,142,142,99,99,108,108,124,124,102.0,102.0,142,142,99,99,108,108,124,124,102.0,102.0,Jul,115.0,83
Nocton Fen,49,49,20,20,10,10,11,11,8.0,8.0,49,49,20,20,10,10,11,11,8.0,8.0,Sep,20.0,82
Blenheim Park Lake,34,34,47,47,61,61,54,54,39.0,39.0,34,34,47,47,61,61,54,54,39.0,39.0,Sep,47.0,81
Chasewater,89,89,103,103,57,57,59,59,67.0,67.0,89,89,103,103,57,57,59,59,67.0,67.0,Aug,75.0,81
Gayhurst Quarries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,81
North Norfolk Coast,98,98,86,86,93,93,81,81,72.0,72.0,98,98,86,86,93,93,81,81,72.0,72.0,Aug,86.0,81
Exeter River Valley Park and Matford Marshes,nan,nan,nan,nan,nan,nan,64,64,70.0,70.0,nan,nan,nan,nan,nan,nan,64,64,70.0,70.0,Jan,67.0,80
Norton Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80
Portsmouth Harbour,91Supplementary visit under the WeBS Low Tide Count SurveyWeBS,91Supplementary visit under the WeBS Low Tide Count SurveyWeBS,(61),(61),103,103,(105),(105),101.0,101.0,91Supplementary visit under the WeBS Low Tide Count SurveyWeBS,91Supplementary visit under the WeBS Low Tide Count SurveyWeBS,(61),(61),103,103,(105),(105),101.0,101.0,Nov,100.0,79
Lakenheath Fen,(98),(98),nan,nan,nan,nan,nan,nan,74.0,74.0,(98),(98),nan,nan,nan,nan,nan,nan,74.0,74.0,Sep,86.0,78
Stormont Loch and Haremyre,4,4,3,3,40,40,67,67,9.0,9.0,4,4,3,3,40,40,67,67,9.0,9.0,Jun,25.0,77
Capheaton (Sir Edward's Lake),nan,nan,nan,nan,20,20,58,58,62.0,62.0,nan,nan,nan,nan,20,20,58,58,62.0,62.0,Aug,47.0,76
Harrold-Odell Country Park,31,31,49,49,50,50,22,22,38.0,38.0,31,31,49,49,50,50,22,22,38.0,38.0,Aug,38.0,76
Cuckoo Bridge Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75
Longham Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75
Tees Estuary,67,67,71,71,71,71,41,41,95.0,95.0,67,67,71,71,71,71,41,41,95.0,95.0,Sep,69.0,75
Acre Dell Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74
Wigan Flashes,66,66,127,127,83,83,79,79,95.0,95.0,66,66,127,127,83,83,79,79,95.0,95.0,Sep,90.0,74
Cleddau Estuary,43,43,44,44,58,58,31,31,18.0,18.0,43,43,44,44,58,58,31,31,18.0,18.0,Sep,39.0,73
Dearne Valley,nan,nan,52Supplementary visit under the WeBS Core Count SurveyWeBS,52Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,nan,nan,nan,52Supplementary visit under the WeBS Core Count SurveyWeBS,52Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,nan,nan,52.0,73
Kingsmyre,7,7,4,4,28,28,20.0,20.0,42,42,7,7,4,4,28,28,20.0,20.0,42,42,Nov,20.0,73
River Thames - Kingston to Hampton Bridge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,73
Crompton Lodges,65,65,52,52,71,71,54.0,54.0,52,52,65,65,52,52,71,71,54.0,54.0,52,52,Sep,59.0,72
Duddon Estuary,40,40,35,35,21,21,16.0,16.0,23,23,40,40,35,35,21,21,16.0,16.0,23,23,Jun,27.0,72
Fonthill Lake,14,14,10,10,13,13,16.0,16.0,14,14,14,14,10,10,13,13,16.0,16.0,14,14,Mar,13.0,72
Loch Spynie,44,44,43,43,30,30,28.0,28.0,53,53,44,44,43,43,30,30,28.0,28.0,53,53,Jan,40.0,72
Solway Estuary,76,76,70,70,51,51,161.0,161.0,94,94,76,76,70,70,51,51,161.0,161.0,94,94,May,90.0,72
