Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Fishguard Harbour,0,0,(0),(0),0.0,0.0,0.0,0.0,0,0,0,0,(0),(0),0.0,0.0,0.0,0.0,0,0,nan,0.0,1
Flitwick Sewage Works,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Fort Island to Sandwick Beach,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Foulridge Reservoirs,(0),(0),nan,nan,nan,nan,nan,nan,nan,nan,(0),(0),nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1
Glen Moss,nan,nan,nan,nan,2.0,2.0,2.0,2.0,2,2,nan,nan,nan,nan,2.0,2.0,2.0,2.0,2,2,Feb,2.0,1
Godstone Village Pond,nan,nan,nan,nan,nan,nan,nan,nan,3,3,nan,nan,nan,nan,nan,nan,nan,nan,3,3,Feb,3.0,1
Grassmoor Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Greencraig Ponds,nan,nan,nan,nan,2.0,2.0,3.0,3.0,4,4,nan,nan,nan,nan,2.0,2.0,3.0,3.0,4,4,Sep,3.0,1
Greenhill Oxbow,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"Gunpowder Park, Lee Valley",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Hackness Lake,nan,nan,4,4,6.0,6.0,6.0,6.0,2,2,nan,nan,4,4,6.0,6.0,6.0,6.0,2,2,Jan,5.0,1
Hamilton Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Hannafore,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"Hardwick Farm Pond, Harwood Dale",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Harold's Wick,nan,nan,0,0,0.0,0.0,0.0,0.0,0,0,nan,nan,0,0,0.0,0.0,0.0,0.0,0,0,nan,0.0,1
Harringworth Lodge Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Headley Mill Pond,2,2,2,2,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2,2,Dec,2.0,1
Heapey Lodges,nan,nan,1,1,0.0,0.0,0.0,0.0,0,0,nan,nan,1,1,0.0,0.0,0.0,0.0,0,0,nan,0.0,1
Heather Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Heaton Park Reservoir,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,2,2,Mar,0.0,1
Hersey Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Hetton Bogs,nan,nan,0,0,1.0,1.0,0.0,0.0,(1),(1),nan,nan,0,0,1.0,1.0,0.0,0.0,(1),(1),Jan,1.0,1
Higher Boarshaw and Stanycliffe Reservoirs,2,2,2,2,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2,2,Nov,2.0,1
"Hinton Farm Reservoir, Haddenham",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"Hoar Gut, Avonmouth",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Hoddlesden Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Horsted Keynes Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Howick to Beadnell,4,4,2,2,2.0,2.0,2.0,2.0,0.0,0.0,4,4,2,2,2.0,2.0,2.0,2.0,0.0,0.0,nan,2.0,1
Huntsham Lake,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,1
Hurleston Reservoir,3,3,2,2,nan,nan,2.0,2.0,2.0,2.0,3,3,2,2,nan,nan,2.0,2.0,2.0,2.0,Jul,2.0,1
Impington Lake (Histon Gravel Pit),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Irt and Mite and Esk Estuary,2,2,0,0,nan,nan,0.0,0.0,0.0,0.0,2,2,0,0,nan,nan,0.0,0.0,0.0,0.0,nan,1.0,1
Isle of Cumbrae,12,12,7,7,nan,nan,nan,nan,nan,nan,12,12,7,7,nan,nan,nan,nan,nan,nan,nan,10.0,1
Keeper's Pond,nan,nan,(0),(0),0.0,0.0,1.0,1.0,0.0,0.0,nan,nan,(0),(0),0.0,0.0,1.0,1.0,0.0,0.0,nan,0.0,1
Keld Head Pickering,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kelkbeck - Millingdale - Foston Turkers,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,Jan,2.0,1
Kennet and Avon Canal - Widbrook,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kentmere Tarn,4,4,4,4,2.0,2.0,3.0,3.0,4.0,4.0,4,4,4,4,2.0,2.0,3.0,3.0,4.0,4.0,Dec,3.0,1
Kentraugh to Gansey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
King John`s Hill Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
King's Bromley Gravel Pits,21,21,23,23,15.0,15.0,44.0,44.0,10.0,10.0,21,21,23,23,15.0,15.0,44.0,44.0,10.0,10.0,Jan,23.0,1
Kingsteps Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Kirkby Moor Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Knaik Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Lacock GP,10,10,7,7,12.0,12.0,4.0,4.0,4.0,4.0,10,10,7,7,12.0,12.0,4.0,4.0,4.0,4.0,Nov,7.0,1
Langness and Derbyhaven Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Leith Hall Ponds,1,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,1,1,0,0,0.0,0.0,2.0,2.0,2.0,2.0,Jan,1.0,1
Litton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Llay Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Llyn Hafodol,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Loch Achray,1,1,1,1,1.0,1.0,2.0,2.0,3.0,3.0,1,1,1,1,1.0,1.0,2.0,2.0,3.0,3.0,Jan,2.0,1
Loch Ashie,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,1
Loch Coulter,0,0,0,0,0.0,0.0,6.0,6.0,2.0,2.0,0,0,0,0,0.0,0.0,6.0,6.0,2.0,2.0,Dec,2.0,1
Loch Craignish and Loch Beag,51,51,nan,nan,nan,nan,nan,nan,nan,nan,51,51,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.0,1
Loch Glow,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,0,0,2,2,2.0,2.0,0.0,0.0,0.0,0.0,nan,1.0,1
Loch Hempriggs,(0),(0),0,0,0.0,0.0,0.0,0.0,nan,nan,(0),(0),0,0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,1
Loch Linnhe - Inversanda Bay to Corran Ferry,2,2,2,2,nan,nan,0.0,0.0,nan,nan,2,2,2,2,nan,nan,0.0,0.0,nan,nan,nan,1.0,1
Loch Pityoulish,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Loch Sarclet,0.0,0.0,0,0,0,0,0,0,nan,nan,0.0,0.0,0,0,0,0,0,0,nan,nan,nan,0.0,1
Loch an Eerie,nan,nan,(0),(0),0,0,0,0,0,0,nan,nan,(0),(0),0,0,0,0,0,0,nan,0.0,1
Loch of Clickimin,1.0,1.0,2,2,4,4,2,2,0,0,1.0,1.0,2,2,4,4,2,2,0,0,nan,2.0,1
Loch of Collaster,nan,nan,0,0,0,0,0,0,5,5,nan,nan,0,0,0,0,0,0,5,5,Nov,1.0,1
Loch of Hillwell,nan,nan,0,0,0,0,0,0,(0),(0),nan,nan,0,0,0,0,0,0,(0),(0),nan,0.0,1
Loch of Houlland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Loch of Murraster,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Loch of Swannay,2.0,2.0,4,4,0,0,4,4,(6),(6),2.0,2.0,4,4,0,0,4,4,(6),(6),Jun,3.0,1
Loch of Tingwall,nan,nan,0,0,0,0,0,0,3,3,nan,nan,0,0,0,0,0,0,3,3,Oct,1.0,1
Loch of Valtigarth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Lochan Buidhe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Lochcraig Reservoir,0.0,0.0,1,1,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,nan,0.0,1
Lochend,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.0,1
Loganlea Reservoir Penicuick,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Longford GP Riverhead Sevenoaks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Longton Ponds,nan,nan,1,1,5,5,10,10,10,10,nan,nan,1,1,5,5,10,10,10,10,Jul,7.0,1
Lossie Estuary,8.0,8.0,18,18,3,3,4,4,4,4,8.0,8.0,18,18,3,3,4,4,4,4,May,7.0,1
Luthrie Pool and flood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Luxhay Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Manitou Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Marwell Activity Centre Lake,nan,nan,nan,nan,nan,nan,(1),(1),nan,nan,nan,nan,nan,nan,nan,nan,(1),(1),nan,nan,nan,1.0,1
Mill Dam and Balfour Mains Pools,1.0,1.0,0,0,0,0,0,0,2,2,1.0,1.0,0,0,0,0,0,0,2,2,Oct,1.0,1
Millom to Eskmeals Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Moorleaze Farm Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Morgans and Woodstock Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Newbyth Pond,2.0,2.0,2,2,0,0,2,2,nan,nan,2.0,2.0,2,2,0,0,2,2,nan,nan,nan,2.0,1
Newgale Marsh,nan,nan,nan,nan,(0),(0),0,0,0,0,nan,nan,nan,nan,(0),(0),0,0,0,0,nan,0.0,1
Newhaven,0.0,0.0,0,0,2,2,2,2,0,0,0.0,0.0,0,0,2,2,2,2,0,0,nan,1.0,1
Obelisk Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Orchardton and Auchencairn Bays,0,0,2,2,0.0,0.0,nan,nan,0,0,0,0,2,2,0.0,0.0,nan,nan,0,0,nan,1.0,1
Orchill Loch,2,2,2,2,2.0,2.0,0.0,0.0,0,0,2,2,2,2,2.0,2.0,0.0,0.0,0,0,nan,1.0,1
Outer Ards Shoreline,0,0,0,0,0.0,0.0,nan,nan,2,2,0,0,0,0,0.0,0.0,nan,nan,2,2,Mar,1.0,1
Par Harbour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Parc Slip NR excluding North Wetland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Paul's Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pebsham Farm Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pen-y-cae Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pendarves Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pentwyn Reservoir,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,nan,0.0,1
Pickhurst Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Plashett Park Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Polmaise Lagoons,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Pontsticill Reservoir (Taf Fechan),0,0,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0,0,nan,0.0,1
Powis Castle Pools - Dairy Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Powis Castle Pools - Duck Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Priestdykes Flood Lockerbie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Primrose Valley Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Quarterbank Pond,(0),(0),(0),(0),0.0,0.0,0.0,0.0,nan,nan,(0),(0),(0),(0),0.0,0.0,0.0,0.0,nan,nan,nan,0.0,1
Queen Mary Gravel Pit,3,3,2,2,3.0,3.0,1.0,1.0,1,1,3,3,2,2,3.0,3.0,1.0,1.0,1,1,Dec,2.0,1
Rectory Farm Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Redmere Farm Middle Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Rest Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ripley Farm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Riseholme Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Avon - Conham River Park to Hanham Locks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Balvag - Balquhidder to Strathyre,0,0,0,0,0.0,0.0,0.0,0.0,(0),(0),0,0,0,0,0.0,0.0,0.0,0.0,(0),(0),nan,0.0,1
River Calder - Altham Bridge to Martholme Viaduct,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Carron - Carronbridge to Carron House,nan,nan,2,2,1.0,1.0,5.0,5.0,4,4,nan,nan,2,2,1.0,1.0,5.0,5.0,4,4,Sep,3.0,1
River Carron - M876 to Larbert,7,7,0,0,0.0,0.0,2.0,2.0,2,2,7,7,0,0,0.0,0.0,2.0,2.0,2,2,Dec,2.0,1
River Clyde: Mavisbank Road to Wanlock Street,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Dee - Threave and Lodge Islands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Derwent - Bassenthwaite Lake to Isel Bridge,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0.0,1
River Forth - Bridge of Frew to East Frew,5,5,2,2,3,3,2,2,nan,nan,5,5,2,2,3,3,2,2,nan,nan,nan,3.0,1
River Forth - Bridge of Frew to Ladylands,6,6,4,4,3,3,nan,nan,nan,nan,6,6,4,4,3,3,nan,nan,nan,nan,nan,4.0,1
River Glaslyn at Port Croesor,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Isla - West Banchory,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Lerryn,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,2.0,Apr,2.0,1
River Severn - Llandinam to Gravels Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Tay - Friarton Island,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Teith - Doune to Wester Row,nan,nan,nan,nan,4,4,nan,nan,16.0,16.0,nan,nan,nan,nan,4,4,nan,nan,16.0,16.0,Jan,10.0,1
River Thame - Eythrope 3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
River Tweed - Boleside to Galafoot,(0),(0),(3),(3),nan,nan,2,2,3.0,3.0,(0),(0),(3),(3),nan,nan,2,2,3.0,3.0,Oct,3.0,1
River Wey - Lammas Lands,11,11,19,19,10,10,10,10,4.0,4.0,11,11,19,19,10,10,10,10,4.0,4.0,Feb,11.0,1
Roberthill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Roscobie Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Rosebush Reservoir,0,0,(0),(0),0,0,0,0,0.0,0.0,0,0,(0),(0),0,0,0,0,0.0,0.0,nan,0.0,1
Rowley Lake,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,nan,0.0,1
Rubha Ban to Whitefarland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Ryat Linn Reservoir,2,2,5,5,2,2,3,3,1.0,1.0,2,2,5,5,2,2,3,3,1.0,1.0,Dec,3.0,1
Salterford Dam and Oxton Bogs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Sandown Meadows Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Scaling Dam Reservoir,0,0,0,0,nan,nan,(1),(1),3.0,3.0,0,0,0,0,nan,nan,(1),(1),3.0,3.0,Dec,1.0,1
Scoughall Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Shalford Water Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Shottermill Ponds,3,3,3,3,4,4,3,3,3.0,3.0,3,3,3,3,4,4,3,3,3.0,3.0,Jul,3.0,1
Silent Pool and Sherbourne Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Silsden Reservoir,nan,nan,nan,nan,(0),(0),nan,nan,nan,nan,nan,nan,nan,nan,(0),(0),nan,nan,nan,nan,nan,0.0,1
Small Heath Park Birmingham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Smallholm - Lockerbie,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Snipe Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Snypes Dam,2,2,2.0,2.0,5.0,5.0,1.0,1.0,5,5,2,2,2.0,2.0,5.0,5.0,1.0,1.0,5,5,Dec,3.0,1
South Brent Fishing Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
South Leaze Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
South Woodburn Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"Sovereign Harbour, Langney",nan,nan,nan,nan,18.0,18.0,38.0,38.0,40,40,nan,nan,nan,nan,18.0,18.0,38.0,38.0,40,40,Jan,32.0,1
Spit Beach,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
St Mary's Island,(2),(2),2.0,2.0,2.0,2.0,2.0,2.0,3,3,(2),(2),2.0,2.0,2.0,2.0,2.0,2.0,3,3,Oct,2.0,1
Stanhill Hall,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Stonar Lake Sandwich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Stourton Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Stouts Hill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Sulby Reservoirs,2,2,0.0,0.0,0.0,0.0,6.0,6.0,2,2,2,2,0.0,0.0,0.0,0.0,6.0,6.0,2,2,Oct,2.0,1
Swan Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Syon Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Taf Bargoed Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tailend Moss,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tal-y-Ilyn Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tamar Lakes,2,2,2.0,2.0,2.0,2.0,2.0,2.0,nan,nan,2,2,2.0,2.0,2.0,2.0,2.0,2.0,nan,nan,nan,2.0,1
Tardebigge Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Tarns Dub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
"The Lake, Lulworth",2,2,2.0,2.0,5.0,5.0,nan,nan,nan,nan,2,2,2.0,2.0,5.0,5.0,nan,nan,nan,nan,nan,3.0,1
The Lawn Lakes,3,3,2.0,2.0,2.0,2.0,8.0,8.0,8,8,3,3,2.0,2.0,2.0,2.0,8.0,8.0,8,8,Jun,5.0,1
Thurrock Services Pit,nan,nan,nan,nan,4.0,4.0,1.0,1.0,2,2,nan,nan,nan,nan,4.0,4.0,1.0,1.0,2,2,Nov,2.0,1
Thursley Ponds,2,2,2.0,2.0,0.0,0.0,0.0,0.0,(0),(0),2,2,2.0,2.0,0.0,0.0,0.0,0.0,(0),(0),nan,1.0,1
Tittesworth Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
Topped Mountain Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
