Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Brampton Gravel Pits,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,0,nan,nan,nan,nan,0,0,5,2019-11-22 03:20:39
Brandesburton Ponds West,2,0,1,0,0.0,2.0,0.0,0,0,0.0,(0),nan,0.0,0.0,0.0,(0),(0),nan,nan,nan,nan,0,0,5,2019-11-22 03:20:39
Brandon Marsh Nature Reserve,3,7Ruddy Duck supplementary countsWWT/CSL,(1),2,1.0,0.0,2.0,4,(1),0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,5,2019-11-22 03:20:39
Branton Gravel Pits,nan,nan,nan,nan,nan,nan,0.0,1,nan,nan,nan,0,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Brasside Ponds,nan,nan,nan,nan,nan,nan,5.0,1,2,3.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Bray Gravel Pits,0,0,nan,1,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,nan,nan,nan,nan,0,0,5,2019-11-22 03:20:39
Braydon Pond,0,0,(0),0,0.0,0.0,nan,0,0,1.0,0,0,0.0,0.0,0.0,nan,0,0,nan,nan,nan,0,0,5,2019-11-22 03:20:39
Bredon's Hardwick Gravel Pits,nan,nan,0,0,0.0,0.0,0.0,1,0,2.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Bretton Park,0,0,0,0,0.0,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,nan,0,(0),nan,nan,nan,0,0,5,2019-11-22 03:20:39
Breydon Water and Berney Marshes,0,1,0,0,0.0,0.0,2.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Brogborough Clay Pit,0,2,0,4,4.0,0.0,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Bromham Gravel Pits,0,0,1,0,0.0,0.0,0.0,0,0,0.0,0,(0),0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Bromley Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,0,0,5,2019-11-22 03:20:39
Brooklands Lake (East Worthing),0,0,0,0,0.0,0.0,0.0,1,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,nan,0,0,5,2019-11-22 03:20:39
