Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Balgavies Loch,40.0,30Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,109,21,148,(200),(185),(230),(350),200,400,350,557,320,490,446,279,100,699,Sep,403,403,2,2019-11-22 01:18:28
Rossie Bog,nan,nan,70Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,250Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,120Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,810Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,863WWT/JNCC National Grey Goose Censusnull,(570),470Supplementary visit under the WeBS Core Count SurveyWeBS,630Supplementary visit under the WeBS Core Count SurveyWeBS,450Supplementary visit under the WeBS Core Count SurveyWeBS,160,(150),210Supplementary visit under the WeBS Core Count SurveyWeBS,928Supplementary roost count under the WeBS Core Count SurveyWeBS,1Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,380,380,2,2019-11-22 01:18:28
Hirsel Lake,0.0,2,555Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,170Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,74Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,106,100,20,0,20,290Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,110Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,120Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,96Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,96,430Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,178Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,233Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,545Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,460Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Oct,369,369,2,2019-11-22 01:18:28
"Lochs More, Dubh and Beg",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"1,955Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",358Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,358,358,2,2019-11-22 01:18:28
Soddy Gap Pools,nan,nan,nan,nan,nan,nan,180,(100),(200),(210),130,(195),(240),(400),(300),(350),(250),(350),(350),(150),Jan,290,290,2,2019-11-22 01:18:28
River Earn - Forteviot Bridge to Kinkell Bridge,235.0,796,2316,1138,2,201,400,213Supplementary visit under the WeBS Core Count SurveyWeBS,1580,73,1000,2186,129,630Supplementary visit under the WeBS Core Count SurveyWeBS,116,290,(661),290Supplementary visit under the WeBS Core Count SurveyWeBS,331,110,Nov,336,336,2,2019-11-22 01:18:28
Wet Sleddale Reservoir,79.0,32,8,16,172,393,43,23,375,23,143,325,202,31,42,32,50,960,540,42,Oct,325,325,2,2019-11-22 01:18:28
East Fortune Ponds,0.0,203Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,77Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,0,0,0,0,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,291Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,817Supplementary visit under the WeBS Core Count SurveyWeBS,652Supplementary visit under the WeBS Core Count SurveyWeBS,910,86Supplementary visit under the WeBS Core Count SurveyWeBS,425,320,265,406,Nov,300,300,2,2019-11-22 01:18:28
Castle Carrock Reservoir,0.0,14,nan,nan,nan,228,17,nan,16,31,51,1,300,118,0,(47),350,440,218,186,Sep,299,299,2,2019-11-22 01:18:28
Stantling Craigs Reservoir,nan,(0),nan,30,0,nan,nan,0,nan,34,160,150,110,280,88,50,150,324,400,570Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Oct,299,299,2,2019-11-22 01:18:28
Loch Garten,nan,"1,650Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",1000,"2,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",1150,102,580Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,0,140,0,0,0,6,850,610,Oct,293,293,2,2019-11-22 01:18:28
"River Earn, Dalreoch To Kinkell",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,284Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,630Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,282Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,282,282,2,2019-11-22 01:18:28
