Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,1936,1937,1938,RoughTimeAccessed
Hampton and Kempton Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Mar', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[23, 1, 'Mar', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[23, 1, 'Mar', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[18, 1, 'Feb', 0, None, None]",nan,"[17, 1, 'Feb', 0, None, None]","[20, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[10, 1, 'Apr', 0, None, None]","[21, 1, 'Mar', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[3, 1, 'Nov', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Harlock and Poakabeck Reservoirs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[14, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]",nan,"[3, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[14, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,2019-12-06 11:56:02
Heron Lough 2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8, 1, 'Feb', 0, None, None]",nan,nan,"[10, 1, 'Mar', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Feb', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Jan', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Hetton Lyons Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[9, 2, 'Feb', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[2, 2, 'Oct', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 2, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[2, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Kilnaughton Bay Port Ellen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]",nan,nan,"[13, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Kirk Dam (Bute),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[2, 2, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Kirkby-on-Bain Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Feb', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[3, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[2, 1, 'Apr', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[13, 1, 'Jan', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Kirkcudbright Bay and Dee Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[15, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[18, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[13, 1, 'Apr', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[35, 1, 'Mar', 0, None, None]","[18, 1, 'Nov', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[28, 1, 'Dec', 0, None, None]","[23, 1, 'Mar', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[29, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[26, 1, 'Mar', 0, None, None]","[5, 2, 'Dec', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,nan,nan,2019-12-06 11:56:02
Lily Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 2, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[6, 1, 'Mar', 0, None, None]","[1, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:56:02
Little Denny Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jan', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[4, 1, 'Nov', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Llyn Padarn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[2, 1, 'Nov', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[3, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[0, 2, '', 0, None, None]","[5, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Jan', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,2019-12-06 11:56:02
Llyn Trawsfynydd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[3, 1, 'Mar', 0, None, None]",nan,"[7, 1, 'Jan', 0, None, None]",nan,"[5, 1, 'Jan', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[13, 1, 'Feb', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[0, 2, '', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:56:02
Loch Ascog (Bute),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[60, 1, 'Oct', 0, None, None]","[60, 1, 'Oct', 0, None, None]","[35, 1, 'Nov', 0, None, None]","[45, 1, 'Jan', 0, None, None]",nan,"[35, 1, 'Oct', 0, None, None]","[75, 1, 'Oct', 0, None, None]","[50, 1, 'Sep', 0, None, None]","[60, 1, 'Sep', 0, None, None]",nan,"[100, 1, 'Nov', 0, None, None]","[75, 1, 'Oct', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[90, 1, 'Jan', 0, None, None]","[80, 1, 'Dec', 0, None, None]","[90, 1, 'Sep', 0, None, None]","[95, 1, 'Feb', 0, None, None]","[85, 1, 'Oct', 0, None, None]","[78, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[52, 1, 'Dec', 0, None, None]",nan,"[80, 1, 'Jan', 0, None, None]","[76, 1, 'Feb', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[30, 1, 'Mar', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[19, 2, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[22, 1, 'Apr', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[13, 2, 'Mar', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Jan', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch Bunachton,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Mar', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[6, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch Cul Fraoich,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,2019-12-06 11:56:02
Loch Doine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Dec', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[2, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch Gruinart,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jan', 0, None, None]",nan,"[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[9, 1, 'Mar', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[24, 1, 'Feb', 0, None, None]","[20, 1, 'Feb', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[15, 1, 'Nov', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[2, 1, 'Nov', 0, None, None]",nan,"[9, 1, 'Dec', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[5, 1, 'Dec', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[4, 1, 'Mar', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch Hope,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 2, 'Feb', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,nan,nan,2019-12-06 11:56:02
Loch Laggan (Glen Spean),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:56:02
Loch Meallbrodden,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[1, 1, 'Mar', 0, None, None]","[4, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[0, 2, '', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[10, 1, 'Nov', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch Stilligary (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[1, 1, 'Feb', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[5, 1, 'Apr', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
