Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Colne Valley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Mar', 0, None, None]",nan,"[4, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Feb', 0, None, None]",nan,nan,"[398, 1, 'Nov', 0, None, None]","[754, 1, 'Jan', 0, None, None]","[649, 1, 'Nov', 0, None, None]","[512, 1, 'Sep', 0, None, None]","[570, 1, 'Sep', 0, None, None]","[390, 1, 'Dec', 0, None, None]","[421, 1, 'Dec', 0, None, None]","[526, 1, 'Jan', 0, None, None]","[385, 1, 'Sep', 0, None, None]","[685, 1, 'Dec', 0, None, None]","[446, 1, 'Jan', 0, None, None]","[515, 1, 'Dec', 0, None, None]","[1356, 2, 'Dec', 0, None, None]","[902, 2, 'Jan', 0, None, None]","[1191, 2, 'Jan', 0, None, None]","[1084, 1, 'Oct', 0, None, None]","[794, 1, 'Dec', 0, None, None]","[860, 2, 'Dec', 0, None, None]","[664, 2, 'Dec', 0, None, None]","[913, 2, 'Dec', 0, None, None]","[555, 1, 'Oct', 0, None, None]","[985, 1, 'Nov', 0, None, None]","[991, 1, 'Dec', 0, None, None]","[817, 1, 'Dec', 0, None, None]","[972, 1, 'Nov', 0, None, None]","[837, 1, 'Dec', 0, None, None]","[1312, 1, 'Jan', 0, None, None]","[1703, 1, 'Jan', 0, None, None]","[1319, 1, 'Jan', 0, None, None]","[1318, 1, 'Dec', 0, None, None]","[2124, 2, 'Dec', 0, None, None]","[1782, 2, 'Dec', 0, None, None]","[2084, 1, 'Jan', 0, None, None]","[1958, 2, 'Nov', 0, None, None]","[1944, 1, 'Dec', 0, None, None]","[1652, 1, 'Jan', 0, None, None]",2019-12-04 19:46:05
Cheddar Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]",nan,"[1, 1, 'Sep', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[2450, 1, 'Dec', 0, None, None]","[2450, 1, 'Dec', 0, None, None]","[2100, 1, 'Oct', 0, None, None]","[1900, 1, 'Feb', 0, None, None]","[2050, 1, 'Nov', 0, None, None]","[1300, 1, 'Nov', 0, None, None]","[1000, 1, 'Dec', 0, None, None]","[1491, 1, 'Sep', 0, None, None]","[1416, 1, 'Oct', 0, None, None]","[1085, 1, 'Oct', 0, None, None]","[918, 1, 'Jan', 0, None, None]","[2066, 1, 'Dec', 0, None, None]","[1967, 1, 'Dec', 0, None, None]","[2381, 1, 'Nov', 0, None, None]","[3100, 1, 'Jan', 0, None, None]","[2300, 1, 'Dec', 0, None, None]","[2400, 1, 'Dec', 0, None, None]","[2500, 1, 'Nov', 0, None, None]","[3410, 1, 'Jan', 0, None, None]","[2950, 1, 'Dec', 0, None, None]","[2975, 1, 'Dec', 0, None, None]","[3100, 1, 'Dec', 0, None, None]","[3873, 1, 'Nov', 0, None, None]","[3140, 1, 'Dec', 0, None, None]","[3380, 1, 'Dec', 0, None, None]","[3324, 1, 'Jan', 0, None, None]","[2222, 1, 'Jan', 0, None, None]","[2977, 1, 'Dec', 0, None, None]","[4178, 1, 'Dec', 0, None, None]","[2915, 1, 'Dec', 0, None, None]","[1987, 1, 'Dec', 0, None, None]","[2165, 1, 'Dec', 0, None, None]","[2540, 1, 'Dec', 0, None, None]","[452, 1, 'Sep', 0, None, None]","[1400, 2, 'Dec', 0, None, None]","[1204, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Middle Tame Valley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1403, 1, 'Jan', 0, None, None]","[1406, 1, 'Nov', 0, None, None]","[683, 1, 'Dec', 0, None, None]","[822, 1, 'Dec', 0, None, None]","[832, 1, 'Dec', 0, None, None]","[1757, 1, 'Nov', 0, None, None]","[1971, 1, 'Dec', 0, None, None]","[1479, 1, 'Dec', 0, None, None]","[1330, 1, 'Nov', 0, None, None]","[1330, 1, 'Jan', 0, None, None]","[1378, 1, 'Dec', 0, None, None]","[1562, 1, 'Dec', 0, None, None]","[1505, 1, 'Dec', 0, None, None]","[1791, 1, 'Nov', 0, None, None]","[2058, 1, 'Dec', 0, None, None]","[1196, 2, 'Jan', 0, None, None]","[1348, 1, 'Dec', 0, None, None]","[1363, 1, 'Jan', 0, None, None]","[1674, 1, 'Jan', 0, None, None]","[2106, 1, 'Nov', 0, None, None]","[1284, 2, 'Jan', 0, None, None]","[559, 1, 'Nov', 0, None, None]","[393, 1, 'Feb', 0, None, None]","[15, 1, 'Oct', 0, None, None]","[388, 1, 'Jan', 0, None, None]","[472, 1, 'Nov', 0, None, None]","[677, 1, 'Nov', 0, None, None]","[1025, 1, 'Nov', 0, None, None]","[528, 1, 'Nov', 0, None, None]","[1264, 1, 'Nov', 0, None, None]","[542, 1, 'Oct', 0, None, None]","[1133, 1, 'Nov', 0, None, None]","[1702, 1, 'Oct', 0, None, None]","[1177, 1, 'Nov', 0, None, None]","[1852, 1, 'Dec', 0, None, None]","[1936, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
Fleet and Wey,nan,"[2100, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,"[158, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[473, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,"[700, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[4000, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,"[1, 1, 'Sep', 0, None, None]",nan,nan,"[2204, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1328, 1, 'Feb', 0, None, None]","[952, 1, 'Nov', 0, None, None]","[1345, 1, 'Jan', 0, None, None]","[669, 1, 'Nov', 0, None, None]","[214, 1, 'Feb', 0, None, None]","[1561, 1, 'Nov', 0, None, None]","[2647, 1, 'Nov', 0, None, None]","[3489, 1, 'Dec', 0, None, None]","[3344, 1, 'Dec', 0, None, None]","[2568, 2, 'Dec', 0, None, None]","[1931, 1, 'Dec', 0, None, None]","[2417, 1, 'Nov', 0, None, None]","[2501, 1, 'Dec', 0, None, None]","[1562, 1, 'Nov', 0, None, None]","[1777, 1, 'Nov', 0, None, None]","[1862, 1, 'Oct', 0, None, None]","[2346, 1, 'Oct', 0, None, None]","[3418, 1, 'Nov', 0, None, None]","[2353, 1, 'Dec', 0, None, None]","[2923, 2, 'Dec', 0, None, None]","[3275, 1, 'Oct', 0, None, None]","[2699, 1, 'Dec', 0, None, None]","[2650, 1, 'Nov', 0, None, None]","[2337, 1, 'Jan', 0, None, None]","[2291, 1, 'Dec', 0, None, None]","[2397, 1, 'Nov', 0, None, None]","[3680, 1, 'Jan', 0, None, None]","[1552, 1, 'Nov', 0, None, None]","[1303, 1, 'Oct', 0, None, None]","[1386, 1, 'Jan', 0, None, None]","[1952, 1, 'Jan', 0, None, None]","[1822, 1, 'Dec', 0, None, None]","[1252, 1, 'Nov', 0, None, None]","[1125, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Sutton and Lound Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[248, 1, 'Dec', 0, None, None]","[354, 1, 'Sep', 0, None, None]","[1093, 1, 'Feb', 0, None, None]","[999, 1, 'Feb', 0, None, None]","[1068, 1, 'Dec', 0, None, None]","[498, 1, 'Dec', 0, None, None]","[727, 1, 'Nov', 0, None, None]","[447, 1, 'Oct', 0, None, None]",nan,nan,"[850, 1, 'Jan', 0, None, None]",nan,"[1145, 1, 'Jan', 0, None, None]","[1360, 1, 'Dec', 0, None, None]","[1716, 1, 'Dec', 0, None, None]","[1072, 1, 'Nov', 0, None, None]",nan,"[1325, 1, 'Jan', 0, None, None]",nan,"[1882, 1, 'Dec', 0, None, None]","[1531, 1, 'Aug', 0, None, None]","[835, 1, 'Feb', 0, None, None]","[1626, 1, 'Nov', 0, None, None]","[1718, 2, 'Jan', 0, None, None]","[1903, 1, 'Oct', 0, None, None]","[1609, 1, 'Jan', 0, None, None]","[1865, 1, 'Aug', 0, None, None]","[1796, 1, 'Sep', 0, None, None]","[1503, 1, 'Aug', 0, None, None]","[1666, 1, 'Dec', 0, None, None]","[1514, 1, 'Oct', 0, None, None]","[1755, 1, 'Dec', 0, None, None]","[1294, 1, 'Nov', 0, None, None]","[1113, 1, 'Nov', 0, None, None]","[1561, 1, 'Nov', 0, None, None]","[1460, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
Blagdon Lake,nan,nan,nan,nan,nan,nan,nan,"[424, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[520, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[451, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[812, 1, 'Sep', 0, None, None]","[794, 1, 'Sep', 0, None, None]","[252, 1, 'Dec', 0, None, None]","[965, 1, 'Nov', 0, None, None]","[735, 1, 'Sep', 0, None, None]","[442, 1, 'Dec', 0, None, None]","[633, 1, 'Sep', 0, None, None]","[190, 1, 'Jan', 0, None, None]","[496, 1, 'Sep', 0, None, None]","[211, 1, 'Sep', 0, None, None]","[525, 1, 'Oct', 0, None, None]","[310, 1, 'Sep', 0, None, None]","[512, 1, 'Aug', 0, None, None]","[446, 1, 'Aug', 0, None, None]","[578, 1, 'Oct', 0, None, None]","[1040, 1, 'Nov', 0, None, None]","[1126, 1, 'Aug', 0, None, None]","[1229, 1, 'Aug', 0, None, None]","[1012, 1, 'Oct', 0, None, None]","[2846, 1, 'Sep', 0, None, None]","[628, 1, 'Jun', 0, None, None]","[1993, 1, 'Aug', 0, None, None]","[2080, 1, 'Aug', 0, None, None]","[3151, 1, 'Aug', 0, None, None]","[1400, 1, 'Sep', 0, None, None]","[2323, 1, 'Aug', 0, None, None]","[1403, 1, 'Aug', 0, None, None]","[970, 1, 'Aug', 0, None, None]","[678, 1, 'Jul', 0, None, None]","[1247, 1, 'Aug', 0, None, None]","[1070, 1, 'Nov', 0, None, None]","[1213, 1, 'Oct', 0, None, None]","[1098, 1, 'Oct', 0, None, None]","[1426, 1, 'Nov', 0, None, None]","[1615, 1, 'Oct', 0, None, None]","[1547, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Fen Drayton Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[430, 1, 'Jan', 0, None, None]",nan,"[600, 1, 'Oct', 0, None, None]","[550, 1, 'Jan', 0, None, None]","[620, 1, 'Nov', 0, None, None]","[1021, 1, 'Dec', 0, None, None]","[1112, 1, 'Nov', 0, None, None]","[2090, 1, 'Dec', 0, None, None]","[1110, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1300, 1, 'Dec', 0, None, None]","[1090, 1, 'Sep', 0, None, None]","[1180, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1140, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1528, 1, 'Dec', 0, None, None]","[1710, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1709, 1, 'Dec', 0, None, None]","[2064, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1848, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1828, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1790, 1, 'Dec', 0, None, None]","[1223, 1, 'Dec', 0, None, None]","[1239, 1, 'Dec', 0, None, None]","[1525, 1, 'Dec', 0, None, None]","[1362, 1, 'Nov', 0, None, None]","[1460, 1, 'Dec', 0, None, None]","[1228, 1, 'Jan', 0, None, None]","[1772, 1, 'Oct', 0, None, None]","[1870, 1, 'Nov', 0, None, None]","[1557, 1, 'Dec', 0, None, None]","[1810, 1, 'Nov', 0, None, None]","[1054, 1, 'Oct', 0, None, None]","[1053, 1, 'Sep', 0, None, None]","[1294, 1, 'Nov', 0, None, None]","[1811, 1, 'Nov', 0, None, None]","[1434, 1, 'Oct', 0, None, None]","[1236, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Stodmarsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[217, 1, 'Dec', 0, None, None]","[206, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[230, 1, 'Mar', 0, None, None]","[300, 1, 'Mar', 0, None, None]",nan,nan,"[721, 1, 'Sep', 0, None, None]","[400, 1, 'Sep', 0, None, None]","[500, 1, 'Sep', 0, None, None]","[350, 1, 'Oct', 0, None, None]","[509, 1, 'Aug', 0, None, None]","[509, 1, 'Sep', 0, None, None]","[885, 1, 'Sep', 0, None, None]","[477, 1, 'Oct', 0, None, None]","[589, 1, 'Aug', 0, None, None]","[744, 1, 'Nov', 0, None, None]","[906, 2, 'Oct', 0, None, None]","[742, 1, 'Aug', 0, None, None]","[1446, 1, 'Aug', 0, None, None]","[1964, 1, 'Aug', 0, None, None]","[656, 1, 'Sep', 0, None, None]","[506, 1, 'Nov', 0, None, None]","[1213, 1, 'Oct', 0, None, None]","[904, 1, 'Nov', 0, None, None]","[1369, 1, 'Dec', 0, None, None]","[1350, 1, 'Oct', 0, None, None]","[2310, 1, 'Oct', 0, None, None]","[1969, 1, 'Oct', 0, None, None]","[1240, 1, 'Aug', 0, None, None]","[1430, 1, 'Oct', 0, None, None]","[1080, 1, 'Oct', 0, None, None]","[1740, 1, 'Oct', 0, None, None]","[1710, 1, 'Nov', 0, None, None]","[1270, 1, 'Dec', 0, None, None]","[890, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Upper Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[227, 1, 'Mar', 0, None, None]","[288, 1, 'Mar', 0, None, None]","[456, 1, 'Feb', 0, None, None]","[577, 1, 'Oct', 0, None, None]","[383, 1, 'Jan', 0, None, None]",nan,"[190, 1, 'Feb', 0, None, None]","[228, 1, 'Feb', 0, None, None]","[244, 1, 'Jan', 0, None, None]","[166, 1, 'Feb', 0, None, None]","[441, 1, 'Mar', 0, None, None]","[414, 1, 'Feb', 0, None, None]","[562, 1, 'Jan', 0, None, None]","[646, 1, 'Mar', 0, None, None]","[899, 1, 'Dec', 0, None, None]","[1660, 1, 'Jan', 0, None, None]","[1447, 1, 'Dec', 0, None, None]","[2062, 1, 'Dec', 0, None, None]","[1462, 1, 'Feb', 0, None, None]","[2023, 1, 'Jan', 0, None, None]","[1696, 1, 'Dec', 0, None, None]","[1072, 1, 'Dec', 0, None, None]","[1093, 1, 'Jan', 0, None, None]","[1051, 1, 'Feb', 0, None, None]","[2077, 1, 'Dec', 0, None, None]","[1219, 1, 'Dec', 0, None, None]","[828, 1, 'Jan', 0, None, None]","[1874, 1, 'Nov', 0, None, None]","[2196, 1, 'Dec', 0, None, None]","[749, 1, 'Feb', 0, None, None]","[893, 1, 'Dec', 0, None, None]","[833, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Lower Windrush Valley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Oct', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[5, 1, 'Nov', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]",nan,"[1, 1, 'Nov', 0, None, None]","[309, 1, 'Feb', 0, None, None]","[420, 1, 'Jan', 0, None, None]","[326, 1, 'Dec', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[320, 1, 'Jan', 0, None, None]","[353, 1, 'Sep', 0, None, None]","[187, 1, 'Oct', 0, None, None]","[413, 1, 'Dec', 0, None, None]","[150, 1, 'Feb', 0, None, None]","[1042, 1, 'Dec', 0, None, None]","[671, 1, 'Jan', 0, None, None]","[1447, 1, 'Nov', 0, None, None]","[1417, 1, 'Nov', 0, None, None]","[1764, 1, 'Nov', 0, None, None]","[2068, 1, 'Nov', 0, None, None]","[2629, 1, 'Nov', 0, None, None]","[2518, 1, 'Nov', 0, None, None]","[2188, 1, 'Nov', 0, None, None]","[2274, 1, 'Nov', 0, None, None]","[1720, 1, 'Nov', 0, None, None]","[2016, 1, 'Oct', 0, None, None]","[2341, 1, 'Dec', 0, None, None]","[2075, 1, 'Nov', 0, None, None]","[1338, 1, 'Jan', 0, None, None]","[1589, 1, 'Dec', 0, None, None]","[1327, 1, 'Sep', 0, None, None]","[366, 1, 'Sep', 0, None, None]","[1802, 1, 'Jan', 0, None, None]","[855, 1, 'Oct', 0, None, None]","[1352, 1, 'Oct', 0, None, None]","[1423, 1, 'Dec', 0, None, None]","[769, 1, 'Dec', 0, None, None]","[1518, 1, 'Dec', 0, None, None]","[1656, 1, 'Oct', 0, None, None]","[1247, 1, 'Nov', 0, None, None]","[1190, 1, 'Nov', 0, None, None]",2019-12-04 19:46:05
Carsington Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[44, 1, 'Mar', 0, None, None]","[116, 1, 'Sep', 0, None, None]","[89, 1, 'Feb', 0, None, None]","[168, 1, 'Jan', 0, None, None]","[160, 1, 'Aug', 0, None, None]","[125, 1, 'Feb', 0, None, None]","[293, 1, 'Nov', 0, None, None]","[467, 1, 'Oct', 0, None, None]","[938, 1, 'Oct', 0, None, None]",nan,"[1690, 1, 'Dec', 0, None, None]","[1332, 1, 'Dec', 0, None, None]","[526, 1, 'Aug', 0, None, None]","[1731, 1, 'Jan', 0, None, None]","[1614, 1, 'Nov', 0, None, None]","[2136, 1, 'Dec', 0, None, None]","[1880, 1, 'Jan', 0, None, None]","[2175, 1, 'Nov', 0, None, None]","[1770, 1, 'Oct', 0, None, None]","[1783, 1, 'Dec', 0, None, None]","[1095, 1, 'Sep', 0, None, None]","[784, 1, 'Dec', 0, None, None]","[1184, 1, 'Oct', 0, None, None]","[1318, 1, 'Oct', 0, None, None]","[1110, 1, 'Nov', 0, None, None]","[950, 1, 'Jan', 0, None, None]","[1141, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
River Avon - Fordingbridge to Ringwood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[82, 1, 'Mar', 0, None, None]","[220, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[1200, 1, 'Dec', 0, None, None]","[900, 1, 'Nov', 0, None, None]","[825, 1, 'Jan', 0, None, None]","[700, 1, 'Nov', 0, None, None]","[1000, 1, 'Nov', 0, None, None]","[550, 1, 'Jan', 0, None, None]","[1250, 1, 'Dec', 0, None, None]","[1255, 1, 'Nov', 0, None, None]","[1625, 1, 'Nov', 0, None, None]","[1692, 1, 'Dec', 0, None, None]","[1391, 1, 'Oct', 0, None, None]","[1626, 1, 'Nov', 0, None, None]","[1742, 1, 'Oct', 0, None, None]","[1445, 1, 'Oct', 0, None, None]","[1529, 1, 'Nov', 0, None, None]","[1749, 1, 'Nov', 0, None, None]","[1354, 1, 'Dec', 0, None, None]","[1495, 1, 'Nov', 0, None, None]","[1439, 1, 'Nov', 0, None, None]","[1628, 1, 'Nov', 0, None, None]","[1069, 1, 'Oct', 0, None, None]","[1494, 1, 'Nov', 0, None, None]","[1841, 1, 'Oct', 0, None, None]","[1861, 1, 'Oct', 0, None, None]","[2012, 1, 'Nov', 0, None, None]","[1607, 1, 'Nov', 0, None, None]","[1453, 1, 'Jan', 0, None, None]","[1757, 1, 'Jan', 0, None, None]","[2051, 1, 'Dec', 0, None, None]","[1989, 1, 'Dec', 0, None, None]","[857, 1, 'Dec', 0, None, None]","[1505, 1, 'Jan', 0, None, None]","[1338, 1, 'Nov', 0, None, None]","[831, 1, 'Nov', 0, None, None]","[1098, 1, 'Jan', 0, None, None]","[915, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
Cotswold Water Park (East),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,nan,"[1674, 1, 'Dec', 0, None, None]","[2416, 1, 'Dec', 0, None, None]","[1716, 1, 'Nov', 0, None, None]","[2217, 1, 'Jan', 0, None, None]","[1888, 1, 'Dec', 0, None, None]","[2112, 1, 'Dec', 0, None, None]","[1680, 1, 'Jan', 0, None, None]","[1690, 1, 'Dec', 0, None, None]","[2380, 1, 'Dec', 0, None, None]","[2645, 1, 'Dec', 0, None, None]","[1613, 1, 'Oct', 0, None, None]","[1953, 2, 'Dec', 0, None, None]","[2185, 1, 'Jan', 0, None, None]","[3433, 1, 'Jan', 0, None, None]","[2268, 1, 'Jan', 0, None, None]","[2094, 1, 'Nov', 0, None, None]","[3608, 1, 'Dec', 0, None, None]","[2944, 1, 'Nov', 0, None, None]","[2227, 1, 'Jan', 0, None, None]","[2634, 1, 'Jan', 0, None, None]","[2365, 1, 'Dec', 0, None, None]","[2296, 1, 'Dec', 0, None, None]","[1850, 1, 'Nov', 0, None, None]","[2045, 1, 'Jan', 0, None, None]","[1835, 1, 'Nov', 0, None, None]","[2134, 1, 'Dec', 0, None, None]","[2248, 1, 'Dec', 0, None, None]","[2050, 1, 'Nov', 0, None, None]","[1820, 1, 'Jan', 0, None, None]","[1760, 1, 'Feb', 0, None, None]","[1317, 1, 'Dec', 0, None, None]","[1047, 1, 'Oct', 0, None, None]","[1145, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-04 19:46:05
Chichester Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[595, 1, 'Oct', 0, None, None]","[938, 1, 'Sep', 0, None, None]","[1543, 1, 'Jan', 0, None, None]","[1227, 1, 'Nov', 0, None, None]","[1210, 1, 'Oct', 0, None, None]","[1011, 1, 'Nov', 0, None, None]","[1118, 1, 'Oct', 0, None, None]","[1099, 1, 'Oct', 0, None, None]","[1584, 1, 'Dec', 0, None, None]","[910, 1, 'Dec', 0, None, None]","[585, 1, 'Nov', 0, None, None]","[1127, 1, 'Dec', 0, None, None]","[1130, 1, 'Dec', 0, None, None]","[1204, 1, 'Jan', 0, None, None]","[947, 1, 'Sep', 0, None, None]","[947, 1, 'Dec', 0, None, None]","[1133, 1, 'Jan', 0, None, None]","[992, 1, 'Oct', 0, None, None]","[2545, 1, 'Jan', 0, None, None]","[2213, 1, 'Nov', 0, None, None]","[1250, 1, 'Dec', 0, None, None]","[1393, 1, 'Oct', 0, None, None]","[1266, 1, 'Dec', 0, None, None]","[601, 1, 'Oct', 0, None, None]","[1016, 1, 'Dec', 0, None, None]","[624, 1, 'Dec', 0, None, None]","[1288, 1, 'Jan', 0, None, None]","[2177, 1, 'Jan', 0, None, None]","[2183, 1, 'Nov', 0, None, None]","[1964, 1, 'Dec', 0, None, None]","[1695, 1, 'Nov', 0, None, None]","[800, 1, 'Oct', 0, None, None]","[753, 1, 'Dec', 0, None, None]","[1182, 1, 'Dec', 0, None, None]","[814, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
