Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Clachan and Whitehouse,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2Argyll goose countsSNH,0SNH countsSNH Islay office,nan,0SNH countsSNH Islay office,0SNH countsSNH Islay office,0SNH countsSNH Islay office,0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0SNH countsSNH Islay office,nan,0SNH countsSNH Kirkwall office,30SNH countsSNH Kirkwall office,nan,nan,nan,15,15,2,2019-11-28 04:18:33
Laggan Mouth,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,nan,nan,14,14,2,2019-11-28 04:18:33
Loch Gorm,nan,nan,nan,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,800,nan,nan,0,300,0,0,nan,nan,nan,nan,14,nan,nan,14,14,2,2019-11-28 04:18:33
Loch na Faoileige,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,70,0,nan,14,14,2,2019-11-28 04:18:33
Loch of Spiggie,nan,3.0,0.0,4.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,nan,42,0.0,0.0,0.0,0.0,nan,nan,nan,5,4,0,0,0,36,0,0,5,0,2,1,3,0,4,7,58,2,0,nan,14,14,2,2019-11-28 04:18:33
Bute,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,nan,nan,nan,nan,nan,nan,4Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,21Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,1Supplementary visit under the WeBS Core Count SurveyWeBS,nan,6Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,2Argyll goose countsSNH,0SNH countsSNH Islay office,nan,0SNH countsSNH Islay office,0SNH countsSNH Islay office,5Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,10Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0SNH countsSNH Islay office,nan,0SNH countsSNH Kirkwall office,0SNH countsSNH Kirkwall office,45Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,8Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Dec,13,13,2,2019-11-28 04:18:33
Bay of Culkein,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,(63),nan,nan,nan,nan,34,0,0,0,0,0,0,0,0,4Supplementary visit under the WeBS Core Count SurveyWeBS,30Supplementary visit under the WeBS Core Count SurveyWeBS,25Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,nan,12,12,2,2019-11-28 04:18:33
Loch of Clumly,nan,0.0,nan,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0.0,6.0,0.0,0.0,0,0,0,(1),0,0,0,4Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0,0,0,14,0,0,0,0,1,(45),0,nan,9,9,2,2019-11-28 04:18:33
Machrihanish,0.0,nan,nan,3.0,0.0,0.0,0.0,nan,0.0,1,0.0,nan,nan,nan,nan,nan,nan,nan,13Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,77Supplementary visit under the WeBS Core Count SurveyWeBS,102Supplementary visit under the WeBS Core Count SurveyWeBS,nan,400Argyll goose countsSNH,"67Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",60Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,82Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,56SNH countsSNH Islay office,76SNH countsSNH Islay office,25Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,25SNH countsSNH Islay office,nan,12SNH countsSNH Kirkwall office,9SNH countsSNH Kirkwall office,6SNH countsSNH Kirkwall office,9SNH countsSNH Kirkwall office,Dec,9,9,2,2019-11-28 04:18:33
Oldshoremore Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,(0),0,0,0,0,0,0,0,0,0,0,0,47,Feb,9,9,2,2019-11-28 04:18:33
Garths Loch Scatness,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,nan,0,0.0,0.0,0.0,0.0,nan,nan,nan,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,nan,6,6,2,2019-11-28 04:18:33
Inner Firth of Clyde,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(1),0.0,(0),0.0,0.0,(0),(0),0.0,0.0,25.0,14.0,1,0,0,0,1,0,0,0,0,(12),0,0,0,0,0,76,0,11,0,15,0,0,nan,5,5,2,2019-11-28 04:18:33
