Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Llyn Alaw,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0,nan,nan,nan,(0),nan,0,0,4,2019-11-22 02:48:36
Llyn Llywenan,0,0,nan,nan,0,0,0,nan,nan,nan,nan,nan,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Llyn Traffwll,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Loch of Skene,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Longleat Ponds,0,0,0,nan,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Lower Derwent Ings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,Feb,0,0,4,2019-11-22 02:48:36
Lower Swell Pools,0,0,0,1,nan,0,0,0,0,0,(0),0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Lower Windrush Valley Gravel Pits,0,0,0,0,0,1,0,0,0,0,0,6,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Lynford Gravel Pit,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,0.0,(0),(0),(0),(0),(0),0,nan,0,0,4,2019-11-22 02:48:36
Marston Vale Country Park,0,1,0,0,0,0,nan,nan,nan,nan,nan,(0),0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Maxey Pits,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,Oct,0,0,4,2019-11-22 02:48:36
Medmerry RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Medway Estuary,(0),0,(0),(0),0,0,0,0,0,0,0,0,1,0.0,(0),1,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Mere Farm Quarry - Chelford,nan,nan,nan,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Middle Yare Marshes,0,0,0,6,2,0,0,0,0,0,0,(0),1,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Montrose Basin,0,0,0,0,0,0,1,0,0,0,2,2,0,0.0,0,0,0,0,(0),0,nan,0,0,4,2019-11-22 02:48:36
Morecambe Bay,0,1,0,2,1,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Nene Washes,0,1,0,0,3,0,0,0,0,(0),0,0,0,0.0,0,0,0,0,(0),0,nan,0,0,4,2019-11-22 02:48:36
Newtown Estuary,0,0,0,0,0,0,(0),(0),0,0,0,0,(0),0.0,0,2,0,0,(0),0,nan,1,1,4,2019-11-22 02:48:36
North Norfolk Coast,2,0,3,7,0,3,0,20,5,0,2,2,0,0.0,1,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
North West Solent,0,(0),(0),(0),(0),0,0,0,0,0,0,0,0,0.0,0,0,0,0,(0),0,nan,0,0,4,2019-11-22 02:48:36
Nosterfield Gravel Pits,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,1,Sep,0,0,4,2019-11-22 02:48:36
Orrell Water Park,0,0,0,0,0,0,0,nan,0,nan,nan,0,nan,0.0,0,0,0,0,0,2,Mar,0,0,4,2019-11-22 02:48:36
Orwell Estuary,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,nan,0,0,4,2019-11-22 02:48:36
Otter Estuary,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Oulton Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.0,(0),0,0.0,0,nan,nan,nan,0,0,5,2019-11-22 02:48:42
Ouse Washes,0,3,0,0,0,0.0,0,0,0,0,1,0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,0.0,0,1,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Parsonage Reservoir,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,nan,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Pentney GP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2,0.0,0,0,nan,nan,nan,0.0,nan,0,0,5,2019-11-22 02:48:42
Petworth Park Lakes,0,(0),0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,2.0,Aug,0,0,5,2019-11-22 02:48:42
Piltanton and Luce Estuaries,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,0,0,0.0,0,1.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Poole Harbour,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,1,0,0.0,(0),0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Port Meadow,0,0,0,(0),0,0.0,0,0,0,2,0,0,2,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Queen Elizabeth II Reservoir,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Ramsbury Lake,1,1,1,0,0,0.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0.0,nan,nan,0,0,5,2019-11-22 02:48:42
Ravensthorpe Reservoir,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
Redesmere,0,0,0,0,0,0.0,0,0,nan,0,1,0,0,0.0,0,0,nan,nan,nan,nan,nan,0,0,5,2019-11-22 02:48:42
Ribble Estuary,0,1,1,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
River Cam - Kingfishers Bridge,(0),1,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,5,2019-11-22 02:48:42
